"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","long"
"202005","GBA","La Plata",8,840,325,85000,"ARS","San Facundo alquiler","Casa","Alquiler",-58.0424514,-34.8984722
"202005","CABA","Comuna 5",2,48,46,140000,"USD","Gascon al 100","Departamento","Venta",-58.4245255,-34.6111809
"202005","GBA","Escobar",2,165,65,20000,"ARS","Lindisimo departamento en alquiler . Complejo Civis Tortuguitas,  dos ambientes  con amenities","Departamento","Alquiler",-58.7396263,-34.4432965
"202005","CABA","Comuna 14",2,55,50,48000,"ARS","Fray Justo Santa Maria de Oro al 2800","Departamento","Alquiler",-58.4212497,-34.575892
"202005","CABA","Comuna 1",2,60,55,19000,"ARS","2 ambientes de 60 m2 con amenities","Departamento","Alquiler",-58.3904698,-34.6083256
"202005","CABA","Comuna 6",2,51,45,25000,"ARS","Impecable 2 amb c/cochera, SUM y parrilla - Subte A Carabobo","Departamento","Alquiler",-58.453443,-34.6267302
"202005","CABA","Comuna 15",2,62,48,110001,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.448566,-34.5953491
"202005","CABA","Comuna 1",2,90,70,65000,"ARS","EDIFICIO LUMIERE- Gran Categoría Piso 9 Duplex con terraza- Gran Vista y Estado","Departamento","Alquiler",-58.3627542,-34.615607
"202005","GBA","General San Martín",2,50,45,93000,"USD","Alvear Esq Libertad Departamento  2 Ambientes a Estrenar!Villa Ballester","Departamento","Venta",-58.5552768,-34.5499766
"202005","GBA","Pilar",3,80,80,22000,"ARS","Departamento - Villa Morra I","Departamento","Alquiler",-58.8980623,-34.4515034
"202005","GBA","Tigre",3,58,58,35000,"ARS","Departamento amoblado en alquiler temporal en El Palmar Nordelta","Departamento","Alquiler",-58.6574054412,-34.4255154293
"202005","GBA","Morón",3,95,95,29000,"ARS","Departamento - Castelar Norte","Departamento","Alquiler",-58.6398179,-34.6490363
"202005","CABA","Comuna 13",3,72,60,43000,"ARS","Belgrano - Alquiler Amoblado - Moderno y muy luminoso 3 ambientes","Departamento","Alquiler",-58.4564184,-34.5549018
"202005","GBA","Lomas de Zamora",3,72,70,16000,"ARS","DEPTO 3 AMB CENTRO DE LOMAS DE ZAMORA","Departamento","Alquiler",-58.3989027,-34.7633451
"202005","CABA","Comuna 12",4,150,125,45000,"ARS","Saavedra excelente ph tipo loft alo frente c/ coch.","PH","Alquiler",-58.4895809,-34.5518273
"202005","GBA","Escobar",4,214,184,240000,"USD","Casa con espectacular Pileta en Contry Loma Verde","Casa","Venta",-58.7319903,-34.4153313
"202005","GBA","Escobar",4,120,80,135000,"USD","OPORTUNIDAD, Casa en Venta en el Country Maschwitz Club","Casa","Venta",-58.7560113,-34.3774649
"202005","GBA","La Plata",4,1044,82,78000,"USD","casa de 3 dormitorios a reciclar","Casa","Venta",-58.0791137,-34.8535254
"202005","CABA","Comuna 14",4,98,74,290000,"USD","Zapata al 300 c/terraza ppia y cochera!","Departamento","Venta",-58.440661,-34.573864
"202005","CABA","Comuna 1",4,100,92,40000,"ARS","Marcelo T de Alvear y Uruguay 100 m2","Departamento","Alquiler",-58.386505,-34.5969523
"202005","CABA","Comuna 13",5,210,188,645000,"USD","Soñado Piso Alto con Vista Abierta y Cochera en Torre de Categoría","Departamento","Venta",-58.4460755811,-34.5645847593
"202005","GBA","Tigre",3,102,70,195000,"USD","Departamento tipo casa 3 ambientes con jardin y parrilla. Nordelta","Casa","Venta",-58.657567862,-34.4252844997
"202005","GBA","Tigre",3,102,70,195000,"USD","Departamento tipo casa 3 ambientes con jardin y parrilla. Nordelta","Departamento","Venta",-58.657567862,-34.4252844997
"202005","GBA","Pilar",2,45,45,119000,"USD","Departamento Amoblado - Las Mercedes","Departamento","Venta",-58.9194779,-34.4479523
"202005","GBA","Pilar",2,45,45,24000,"ARS","Departamento Amoblado - Las Mercedes","Departamento","Alquiler",-58.9194779,-34.4479523
"202005","CABA","Comuna 5",1,50,50,30000,"ARS","Departamento - Abasto","Departamento","Alquiler",-58.4138736,-34.6042326
"202005","CABA","Comuna 2",1,30,30,30000,"ARS","Departamento - Barrio Norte","Departamento","Alquiler",-58.4081527,-34.5952783
"202005","GBA","Tigre",2,68,44,120000,"USD","Departamento en venta en Complejo La Mora, Tigre","Departamento","Venta",-58.5927394,-34.4251796
"202005","GBA","Tigre",2,52,52,129000,"USD","Departamento en venta en Condominios del Wyndham, Nordelta","Departamento","Venta",-58.6478074,-34.396684
"202005","GBA","Tigre",2,50,50,175000,"USD","Departamento en venta en Studios de la Bahia, Bahia Grande, Nordelta","Departamento","Venta",-58.6498334,-34.3947151
"202005","CABA","Comuna 13",2,52,52,174500,"USD","Belgrano | Av. Franklin Roosevelt y Vuelta de Obligado | Departamento de 2 ambientes APTO PROFESIONAL.","Departamento","Venta",-58.4597226606,-34.5567697823
"202005","CABA","Comuna 13",2,58,49,148400,"USD","Departamento - Belgrano","Departamento","Venta",-58.4474094,-34.5724437
"202005","CABA","Comuna 13",2,52,52,171000,"USD","Departamento - Belgrano","Departamento","Venta",-58.4597226606,-34.5567697823
"202005","GBA","Quilmes",3,87,82,220000,"USD","Luminoso departamento 3 amb. a estrenar en lote externo Nuevo Quilmes","Departamento","Venta",-58.2880635016,-34.6993892983
"202005","CABA","Comuna 2",3,137,127,395000,"USD","Venta - Callao Av. 1800","Departamento","Venta",-58.3887071,-34.5889267
"202005","GBA","Pilar",4,550,200,278000,"USD","Casa en venta en Barrio El Aljibe, Manzanares","Casa","Venta",-59.00825,-34.4533889
"202005","CABA","Comuna 14",4,148,148,398000,"USD","Clásico y Amplio Departamento 4 amb c/depen y baulera -  Botánico  Palermo","Departamento","Venta",-58.4118226,-34.5805175
"202005","GBA","Vicente López",4,182,140,728000,"USD","Departamento en Venta -  4 ambientes en Olivos-Vias/Rio - ESPECTACULAR VISTA","Departamento","Venta",-58.4774756,-34.5086303
"202005","GBA","Escobar",5,970,176,218000,"USD","Casa en venta  en Barrio San Matias, Escobar","Casa","Venta",-58.7546261,-34.36352
"202005","CABA","Comuna 14",2,45,42,22000,"ARS","Nicaragua 5800 Palermo Hollywood","Departamento","Alquiler",-58.4369136,-34.5788606
"202005","CABA","Comuna 14",3,100,73,52000,"ARS","ARCE 500","Departamento","Alquiler",-58.42688084,-34.56965901
"202005","CABA","Comuna 2",3,120,116,27000,"ARS","Quintana al 300. Con o sin muebles","Departamento","Alquiler",-58.387919,-34.5901989
"202005","GBA","Tres de Febrero",3,70,68,16000,"ARS","Departamento 3 ambientes c/ balcon al frente","Departamento","Alquiler",-58.5359543,-34.5982644
"202005","GBA","Esteban Echeverría",7,403,403,1100000,"USD","Casa - Saint Thomas","Casa","Venta",-58.504889,-34.886289
"202005","CABA","Comuna 5",1,45,45,30000,"ARS","Departamento - Almagro","Departamento","Alquiler",-58.426855,-34.6021298
"202005","CABA","Comuna 14",2,50,50,40000,"ARS","Departamento - Las Cañitas","Departamento","Alquiler",-58.4377797,-34.5665135
"202005","CABA","Comuna 13",1,40,34,127400,"USD","Piso 8 - Monoambiente con Balcón y Amenities - Emprendimiento en BELGRANO","Departamento","Venta",-58.447459601,-34.5723327453
"202005","CABA","Comuna 13",1,40,34,103600,"USD","Monoambiente con Balcón y Amenities - Emprendimiento LIVE BELGRANO","Departamento","Venta",-58.447459601,-34.5723327453
"202005","GBA","San Isidro",1,32,31,79000,"USD","Departamento con balcon frente al Hipódromo de San Isidro. Acassuso San Isidro","Departamento","Venta",-58.5090227,-34.477851
"202005","CABA","Comuna 15",2,37,37,66900,"USD","Depto.tipo casa de 2 ambientes en Venta en Paternal","PH","Venta",-58.4662313124,-34.5938938763
"202005","GBA","Tigre",2,66,58,100404,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","GBA","Tigre",2,66,58,93546,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","GBA","Tigre",2,66,58,97000,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","GBA","Tigre",2,66,58,95296,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","CABA","Comuna 15",2,66,50,145000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.426984115,-34.5995931048
"202005","CABA","Comuna 5",2,40,40,88000,"USD","EXCELENTE DEPARTAMENTO DE 2 AMBIENTES EN ALMAGRO","Departamento","Venta",-58.4242689,-34.6046187
"202005","CABA","Comuna 5",2,46,42,176904,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.41797,-34.60381
"202005","CABA","Comuna 5",2,53,46,194870,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.41797,-34.60381
"202005","CABA","Comuna 5",2,50,45,145001,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4278318,-34.6082829
"202005","CABA","Comuna 5",2,51,47,180695,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4183102,-34.6033231
"202005","CABA","Comuna 5",2,51,47,183433,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-58.4183102,-34.6033231
"202005","CABA","Comuna 2",2,56,52,190000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4147048655,-34.5974204938
"202005","CABA","Comuna 14",2,47,42,149500,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4192700419,-34.5967929661
"202005","CABA","Comuna 15",2,52,46,125000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4422322,-34.5933706
"202005","CABA","Comuna 14",2,52,48,188001,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-58.4237712,-34.590031
"202005","CABA","Comuna 13",2,60,49,206000,"USD","Excelente 2 amb. con Balcón y Amenities - Emprendimiento en BELGRANO","Departamento","Venta",-58.4473755804,-34.5723841184
"202005","CABA","Comuna 13",2,60,49,199900,"USD","Piso Alto - Excepcional 2 amb. con Balcón y Amenities - Emprendimiento Boutique","Departamento","Venta",-58.4473755804,-34.5723841184
"202005","CABA","Comuna 3",2,47,35,75001,"USD","Departamento de 2 ambientes en Venta en Congreso","Departamento","Venta",-58.3946282,-34.61336
"202005","CABA","Comuna 15",2,32,32,78800,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4423151144,-34.5998612365
"202005","CABA","Comuna 15",2,61,46,22000,"ARS","Departamento de 2 ambientes en Alquiler en Villa crespo","Departamento","Alquiler",-58.4528727291,-34.6003541287
"202005","CABA","Comuna 15",2,44,41,120000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.441829,-34.594904
"202005","CABA","Comuna 15",2,37,37,85000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4406533796,-34.5961944091
"202005","CABA","Comuna 15",2,38,35,84103,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4454984,-34.5972556
"202005","CABA","Comuna 15",2,39,39,63001,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-58.437714,-34.597101
"202005","CABA","Comuna 1",2,102,88,370000,"USD","Amplio 2 ambientes en venta - Harbour Residences","Departamento","Venta",-58.3604664,-34.6191653
"202005","GBA","Tigre",3,89,72,145960,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","GBA","Tigre",3,89,72,136664,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","GBA","Tigre",3,89,72,132027,"USD","HOME &amp; OFFICE EL PLACER INSPIRADO POR LA NATURALEZA","Departamento","Venta",-58.5796585,-34.425087
"202005","CABA","Comuna 5",3,65,60,209000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4173,-34.60736
"202005","CABA","Comuna 5",3,90,83,290001,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4310504,-34.6028961
"202005","CABA","Comuna 5",3,67,58,190000,"USD","Departamento de 3 ambientes en Venta en Almagro norte","Departamento","Venta",-58.4205779296,-34.6046056132
"202005","CABA","Comuna 5",3,90,60,250000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.4187294,-34.6034604
"202005","CABA","Comuna 15",3,87,77,173000,"USD","Departamento de 3 ambientes en Venta en Almagro","Departamento","Venta",-58.43683,-34.60252
"202005","CABA","Comuna 5",3,84,80,160000,"USD","Impecable tres ambientes en venta","Departamento","Venta",-58.4172765,-34.611024
"202005","CABA","Comuna 5",3,96,89,189000,"USD","Departamento de 3 ambientes en Venta en Almagro norte","Departamento","Venta",-58.4298855,-34.606022
"202005","CABA","Comuna 14",3,99,90,280001,"USD","Departamento de 3 ambientes en Venta en Palermo","Departamento","Venta",-58.4232882,-34.5824698
"202005","CABA","Comuna 14",3,69,59,265001,"USD","Departamento de 3 ambientes en Venta en Palermo hollywood","Departamento","Venta",-58.4384503,-34.5859904
"202005","CABA","Comuna 13",3,126,68,320000,"USD","Excelente 3 amb. con Terraza y Cochera - Emprendimiento Boutique de Categoría","Departamento","Venta",-58.4473970381,-34.5723664499
"202005","CABA","Comuna 13",3,126,68,320000,"USD","Piso Alto 3 amb. con Terraza y Cochera - Emprendimiento Boutique de Categoría","Departamento","Venta",-58.4473970381,-34.5723664499
"202005","GBA","Hurlingham",3,55,45,13500,"ARS","Departamento 3 ambientes con balcón muy buen estado recién pintado","Departamento","Alquiler",-58.6538273,-34.5915717
"202005","CABA","Comuna 15",3,83,80,165000,"USD","Departamento de 3 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4377833063,-34.5979903473
"202005","CABA","Comuna 15",3,53,44,115000,"USD","Departamento de 3 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4445572184,-34.5952207197
"202005","CABA","Comuna 15",3,48,48,120001,"USD","Departamento de 3 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4525637,-34.5990499
"202005","CABA","Comuna 8",3,64,64,85000,"USD","Venta de departamento tres ambientes","Departamento","Venta",-58.4716176,-34.6658761
"202005","CABA","Comuna 12",3,87,60,190000,"USD","VENTA DEPARTAMENTO 3 AMB. C/ DOS PATIOS EN VILLA URQUIZA","Departamento","Venta",-58.4899284,-34.5724453
"202005","CABA","Comuna 15",3,56,56,137000,"USD","Departamento de 3 ambientes en Venta en Parque centenario","Departamento","Venta",-58.4342946,-34.6032201
"202005","CABA","Comuna 14",4,72,72,129000,"USD","Depto.tipo casa de 4 ambientes en Venta en Almagro","PH","Venta",-58.4165331603,-34.598144042
"202005","CABA","Comuna 5",4,102,102,255001,"USD","Depto.tipo casa de 4 ambientes en Venta en Almagro","PH","Venta",-58.416626,-34.6048464
"202005","CABA","Comuna 3",4,100,90,125000,"USD","Departamento de 4 ambientes en Venta en Almagro","Departamento","Venta",-58.3976707844,-34.6019720775
"202005","CABA","Comuna 2",4,90,90,50000,"ARS","Departamento de 4 ambientes en Alquiler en Almagro","Departamento","Alquiler",-58.4152055458,-34.5988846914
"202005","CABA","Comuna 5",4,73,68,195000,"USD","Departamento de 4 ambientes en Venta en Almagro","Departamento","Venta",-58.4193941639,-34.599983353
"202005","CABA","Comuna 15",4,145,132,265000,"USD","Departamento de 4 ambientes en Venta en Almagro","Departamento","Venta",-58.4333641959,-34.6030006631
"202005","CABA","Comuna 2",4,93,93,315000,"USD","Venta - Gallo  1600","Departamento","Venta",-58.4083742,-34.5913416
"202005","CABA","Comuna 13",4,122,102,415000,"USD","RETASADO! Espectacular triplex con hermosa terraza, quincho y parrilla propios! Vivir en un departamento, sentirse en una casa! Impecable. Amenities","Departamento","Venta",-58.4447877,-34.573477
"202005","CABA","Comuna 2",4,119,112,280000,"USD","Venta - Juncal 2800","Departamento","Venta",-58.4057254,-34.5882078
"202005","CABA","Comuna 15",4,95,95,171000,"USD","Departamento de 4 ambientes en Venta en Chacarita","Departamento","Venta",-58.4458224783,-34.5934766319
"202005","CABA","Comuna 5",4,78,70,184000,"USD","Departamento de 4 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4301434,-34.6013644
"202005","CABA","Comuna 15",4,90,85,230000,"USD","Departamento de 4 ambientes en Venta en Villa crespo","Departamento","Venta",-58.43723,-34.6003
"202005","CABA","Comuna 15",4,99,84,220000,"USD","Departamento de 4 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4356258651,-34.5982107117
"202005","CABA","Comuna 15",4,95,95,171000,"USD","Departamento de 4 ambientes en Venta en Villa crespo","Departamento","Venta",-58.4458224783,-34.5934766319
"202005","CABA","Comuna 3",4,130,122,270000,"USD","Departamento de 4 ambientes en Venta en San cristobal","Departamento","Venta",-58.4064599478,-34.6146458268
"202005","CABA","Comuna 14",5,160,160,375001,"USD","Depto.tipo casa de 5 ambientes en Venta en Palermo","PH","Venta",-58.42896,-34.59197
"202005","CABA","Comuna 15",5,156,156,280000,"USD","Depto.tipo casa de 5 ambientes en Venta en Chacarita","PH","Venta",-58.449353,-34.588234
"202005","CABA","Comuna 3",5,130,122,270000,"USD","Departamento de 5 ambientes en Venta en Once","Departamento","Venta",-58.4064599478,-34.6146458268
